name,total_ops,threads,spent,throughput,latency
std,33554432,1,2835799666,11832440.916861298,84
std,33554432,2,4324184873,7759712.636134556,257
std,33554432,4,6137445412,5467165.856073279,731
std,33554432,6,8795575116,3814921.8848647256,1572
std,33554432,8,10091313013,3325080.8845958845,2405
std,33554432,10,11228855446,2988232.608511576,3346
std,33554432,12,11640207684,2882631.7288240576,4162
std,33554432,14,12124639567,2767458.101709359,5058
std,33554432,16,12303326897,2727264.9325591596,5866
std(parking_lot),33554432,1,2461076706,13634045.585899752,73
std(parking_lot),33554432,2,3069506072,10931541.170771139,182
std(parking_lot),33554432,4,3770575826,8899020.613410149,449
std(parking_lot),33554432,6,4764371383,7042782.625999162,851
std(parking_lot),33554432,8,7019457621,4780202.946110215,1673
std(parking_lot),33554432,10,11815831401,2839785.949989115,3521
std(parking_lot),33554432,12,15730320981,2133105.360057751,5625
std(parking_lot),33554432,14,16491813246,2034611.4462664344,6880
std(parking_lot),33554432,16,17234979812,1946879.6810912099,8218
contrie@0.1.4,33554432,1,14545096181,2306924.0369707253,433
contrie@0.1.4,33554432,2,7311946397,4588987.68921049,435
contrie@0.1.4,33554432,4,3685397231,9104698.868755404,439
contrie@0.1.4,33554432,6,2503734059,13401755.62152226,447
contrie@0.1.4,33554432,8,1951684178,17192552.144571416,465
contrie@0.1.4,33554432,10,1906426986,17600690.84544526,568
contrie@0.1.4,33554432,12,1624258616,20658306.30015879,580
contrie@0.1.4,33554432,14,1456057855,23044710.678752527,607
contrie@0.1.4,33554432,16,1274422600,26329125.04847293,607
dashmap@6.0.1,33554432,1,2604488726,12883308.599125031,77
dashmap@6.0.1,33554432,2,1454392178,23071103.178059034,86
dashmap@6.0.1,33554432,4,849114983,39516947.25895562,101
dashmap@6.0.1,33554432,6,650495404,51582888.66250006,116
dashmap@6.0.1,33554432,8,547515869,61284857.4805418,130
dashmap@6.0.1,33554432,10,567830336,59092355.361584626,169
dashmap@6.0.1,33554432,12,530605771,63237970.323545545,189
dashmap@6.0.1,33554432,14,499963919,67113707.05932882,208
dashmap@6.0.1,33554432,16,515206306,65128146.93692822,245
dashmap5@5.5.3,33554432,1,2801139003,11978852.875228057,83
dashmap5@5.5.3,33554432,2,1631871422,20561933.708524738,97
dashmap5@5.5.3,33554432,4,964185091,34800820.20890737,114
dashmap5@5.5.3,33554432,6,726318517,46197957.52777152,129
dashmap5@5.5.3,33554432,8,619780224,54139242.75195976,147
dashmap5@5.5.3,33554432,10,618413513,54258891.97864278,184
dashmap5@5.5.3,33554432,12,574997164,58355821.73410511,205
dashmap5@5.5.3,33554432,14,547820104,61250822.587555125,228
dashmap5@5.5.3,33554432,16,545802072,61477289.51824133,260
flurry@0.5.1,33554432,1,6870061741,4884152.903568498,204
flurry@0.5.1,33554432,2,3870178875,8669995.130393036,230
flurry@0.5.1,33554432,4,2185289789,15354683.012249228,260
flurry@0.5.1,33554432,6,1670583253,20085459.338673256,298
flurry@0.5.1,33554432,8,1424526358,23554798.97691019,339
flurry@0.5.1,33554432,10,1301554315,25780277.944067206,387
flurry@0.5.1,33554432,12,1166125065,28774299.607392456,417
flurry@0.5.1,33554432,14,1046905510,32051060.65398395,436
flurry@0.5.1,33554432,16,957710121,35036104.62523242,456
hashlink@0.9.1 - std,33554432,1,3233766192,10376270.270562591,96
hashlink@0.9.1 - std,33554432,2,4760843746,7048001.108667346,283
hashlink@0.9.1 - std,33554432,4,8146114881,4119071.7894566352,971
hashlink@0.9.1 - std,33554432,6,10897675177,3079044.975649305,1948
hashlink@0.9.1 - std,33554432,8,12299386678,2728138.6363776214,2932
hashlink@0.9.1 - std,33554432,10,12521936649,2679651.9532527463,3731
hashlink@0.9.1 - std,33554432,12,13534714675,2479138.4824667536,4840
hashlink@0.9.1 - std,33554432,14,12675551337,2647177.318595558,5288
hashlink@0.9.1 - std,33554432,16,14063001184,2386007.905494321,6705
hashlink@0.9.1 - parking_lot,33554432,1,2884603696,11632250.227831643,85
hashlink@0.9.1 - parking_lot,33554432,2,3543010654,9470598.673508815,211
hashlink@0.9.1 - parking_lot,33554432,4,4627933633,7250413.3941628635,551
hashlink@0.9.1 - parking_lot,33554432,6,6533145258,5136030.300093475,1168
hashlink@0.9.1 - parking_lot,33554432,8,9399571743,3569783.0621898794,2241
hashlink@0.9.1 - parking_lot,33554432,10,16038545944,2092111.8483656975,4779
hashlink@0.9.1 - parking_lot,33554432,12,18606285992,1803392.252189778,6654
hashlink@0.9.1 - parking_lot,33554432,14,18623858800,1801690.6356699825,7770
hashlink@0.9.1 - parking_lot,33554432,16,19273380563,1740972.8350622617,9190
papaya@0.1.3,33554432,1,5200725948,6451874.668170845,154
papaya@0.1.3,33554432,2,2729223507,12294497.652514907,162
papaya@0.1.3,33554432,4,1428491623,23489414.61030885,170
papaya@0.1.3,33554432,6,1010659437,33200533.010013346,180
papaya@0.1.3,33554432,8,800565740,41913399.89143178,190
papaya@0.1.3,33554432,10,738183371,45455415.711335495,219
papaya@0.1.3,33554432,12,643565807,52138307.590353385,230
papaya@0.1.3,33554432,14,549785919,61031814.09416927,229
papaya@0.1.3,33554432,16,488556496,68680761.129415,232
scc@2.1.16 - HashMap,33554432,1,4275431026,7848198.64849809,127
scc@2.1.16 - HashMap,33554432,2,2104968912,15940583.16429901,125
scc@2.1.16 - HashMap,33554432,4,1114759986,30100140.31845596,132
scc@2.1.16 - HashMap,33554432,6,777994676,43129385.1167691,139
scc@2.1.16 - HashMap,33554432,8,616616160,54417049.33584615,147
scc@2.1.16 - HashMap,33554432,10,624559182,53724983.9039273,186
scc@2.1.16 - HashMap,33554432,12,531285718,63157037.47187874,190
scc@2.1.16 - HashMap,33554432,14,483322253,69424554.30455837,201
scc@2.1.16 - HashMap,33554432,16,450000055,74565395.33089612,214
scc@2.1.16 - HashIndex,33554432,1,4684570506,7162755.253021268,139
scc@2.1.16 - HashIndex,33554432,2,2335280928,14368477.726890424,139
scc@2.1.16 - HashIndex,33554432,4,1231847727,27239106.96471984,146
scc@2.1.16 - HashIndex,33554432,6,859755079,39027896.222524084,153
scc@2.1.16 - HashIndex,33554432,8,675535049,49670897.23867162,161
scc@2.1.16 - HashIndex,33554432,10,699869893,47943814.03687556,208
scc@2.1.16 - HashIndex,33554432,12,597449997,56162745.28159383,213
scc@2.1.16 - HashIndex,33554432,14,555367429,60418436.96238801,231
scc@2.1.16 - HashIndex,33554432,16,523260683,64125651.11451342,249
