name,total_ops,threads,spent,throughput,latency
std,33554432,1,2887432738,11620853.209291276,86
std,33554432,2,4361759095,7692866.861552334,259
std,33554432,4,7073943856,4743383.985376093,843
std,33554432,6,8861903967,3786368.2708535492,1584
std,33554432,8,11201120244,2995631.800129437,2670
std,33554432,10,11738413612,2858515.052297852,3498
std,33554432,12,12050255815,2784541.0516706114,4309
std,33554432,14,11939578276,2810353.1987765827,4981
std,33554432,16,12126566715,2767018.2986330935,5782
std(parking_lot),33554432,1,2483186888,13512648.670203513,74
std(parking_lot),33554432,2,3391476376,9893753.7166557,202
std(parking_lot),33554432,4,4038171482,8309313.2992414115,481
std(parking_lot),33554432,6,5131573568,6538819.244303972,917
std(parking_lot),33554432,8,7104377863,4723064.094711709,1693
std(parking_lot),33554432,10,12671551057,2648013.0055952314,3776
std(parking_lot),33554432,12,16500564308,2033532.3916001914,5901
std(parking_lot),33554432,14,17124344304,1959457.915837523,7144
std(parking_lot),33554432,16,18131922940,1850572.171028651,8645
contrie@0.1.4,33554432,1,10301210502,3257329.0288054342,306
contrie@0.1.4,33554432,2,5150240461,6515119.4889034135,306
contrie@0.1.4,33554432,4,2601762085,12896810.278484784,310
contrie@0.1.4,33554432,6,1799302283,18648579.68392852,321
contrie@0.1.4,33554432,8,1390932345,24123698.122786842,331
contrie@0.1.4,33554432,10,1313937551,25537311.095540795,391
contrie@0.1.4,33554432,12,1110001636,30229173.46402902,396
contrie@0.1.4,33554432,14,975652658,34391780.44037061,407
contrie@0.1.4,33554432,16,877759963,38227343.93730829,418
dashmap@6.0.1,33554432,1,2677214569,12533336.8451425,79
dashmap@6.0.1,33554432,2,1404354616,23893133.271119606,83
dashmap@6.0.1,33554432,4,925870390,36240960.2493066,110
dashmap@6.0.1,33554432,6,654775122,51245734.40956115,117
dashmap@6.0.1,33554432,8,573308474,58527709.813687496,136
dashmap@6.0.1,33554432,10,591425184,56734871.81093729,176
dashmap@6.0.1,33554432,12,538092765,62358080.58114292,192
dashmap@6.0.1,33554432,14,549167500,61100542.18430624,229
dashmap@6.0.1,33554432,16,517205914,64876350.195794545,246
dashmap5@5.5.3,33554432,1,2708111685,12390342.756487902,80
dashmap5@5.5.3,33554432,2,1597428472,21005279.79070602,95
dashmap5@5.5.3,33554432,4,961710039,34890383.42044384,114
dashmap5@5.5.3,33554432,6,738939718,45408889.49753273,132
dashmap5@5.5.3,33554432,8,653013767,51383958.035298206,155
dashmap5@5.5.3,33554432,10,632563175,53045187.14672253,188
dashmap5@5.5.3,33554432,12,592430003,56638643.94119823,211
dashmap5@5.5.3,33554432,14,560081587,59909900.23387432,233
dashmap5@5.5.3,33554432,16,574844601,58371309.29233516,274
flurry@0.5.1,33554432,1,6628061578,5062480.4258570215,197
flurry@0.5.1,33554432,2,3932278669,8533075.81289326,234
flurry@0.5.1,33554432,4,2289628451,14654968.139195262,272
flurry@0.5.1,33554432,6,1849549805,18141945.628763426,330
flurry@0.5.1,33554432,8,1660378867,20208900.912251856,395
flurry@0.5.1,33554432,10,1446433267,23198050.518842224,431
flurry@0.5.1,33554432,12,1264065709,26544847.91502243,452
flurry@0.5.1,33554432,14,1148168723,29224304.17049429,479
flurry@0.5.1,33554432,16,1057115759,31741492.56060802,504
hashlink@0.9.1 - std,33554432,1,3629193813,9245698.557019997,108
hashlink@0.9.1 - std,33554432,2,5656289026,5932234.340529967,337
hashlink@0.9.1 - std,33554432,4,8108902229,4137974.6669035833,966
hashlink@0.9.1 - std,33554432,6,10426165369,3218290.7917197454,1864
hashlink@0.9.1 - std,33554432,8,11627264987,2885840.4824794075,2772
hashlink@0.9.1 - std,33554432,10,12216236939,2746707.694648456,3640
hashlink@0.9.1 - std,33554432,12,12431837297,2699072.646976905,4445
hashlink@0.9.1 - std,33554432,14,12899532479,2601213.0326913376,5382
hashlink@0.9.1 - std,33554432,16,12916295106,2597837.2067709244,6158
hashlink@0.9.1 - parking_lot,33554432,1,3434990319,9768421.126080034,102
hashlink@0.9.1 - parking_lot,33554432,2,4404730457,7617817.327885587,262
hashlink@0.9.1 - parking_lot,33554432,4,5230448509,6415211.227538727,623
hashlink@0.9.1 - parking_lot,33554432,6,6817143104,4922066.544314103,1219
hashlink@0.9.1 - parking_lot,33554432,8,9132145587,3674320.7475542407,2177
hashlink@0.9.1 - parking_lot,33554432,10,14965125208,2242175.1594876465,4459
hashlink@0.9.1 - parking_lot,33554432,12,17364058827,1932407.1828082616,6209
hashlink@0.9.1 - parking_lot,33554432,14,18011460955,1862948.934782842,7514
hashlink@0.9.1 - parking_lot,33554432,16,18372725942,1826317.5592955786,8760
papaya@0.1.3,33554432,1,5060019709,6631284.842689138,150
papaya@0.1.3,33554432,2,2590943569,12950661.064745095,154
papaya@0.1.3,33554432,4,1358233393,24704466.9737405,161
papaya@0.1.3,33554432,6,950133085,35315507.40599671,169
papaya@0.1.3,33554432,8,787522172,42607602.92600372,187
papaya@0.1.3,33554432,10,657758051,51013335.29705439,196
papaya@0.1.3,33554432,12,571009442,58763357.541818015,204
papaya@0.1.3,33554432,14,497158923,67492366.01753601,207
papaya@0.1.3,33554432,16,453753468,73948596.24521922,216
scc@2.1.16 - HashMap,33554432,1,4291063027,7819608.285609085,127
scc@2.1.16 - HashMap,33554432,2,2172114217,15447821.17689164,129
scc@2.1.16 - HashMap,33554432,4,1144252691,29324319.937299587,136
scc@2.1.16 - HashMap,33554432,6,813590270,41242420.46306675,145
scc@2.1.16 - HashMap,33554432,8,641388492,52315300.973625824,152
scc@2.1.16 - HashMap,33554432,10,634485024,52884513.78798816,189
scc@2.1.16 - HashMap,33554432,12,563803060,59514455.27805401,201
scc@2.1.16 - HashMap,33554432,14,508308616,66011928.46984912,212
scc@2.1.16 - HashMap,33554432,16,461274835,72742819.36494541,219
scc@2.1.16 - HashIndex,33554432,1,4316770982,7773039.649292195,128
scc@2.1.16 - HashIndex,33554432,2,2191100296,15313964.43205081,130
scc@2.1.16 - HashIndex,33554432,4,1148825321,29207601.352999777,136
scc@2.1.16 - HashIndex,33554432,6,795854720,42161504.04938228,142
scc@2.1.16 - HashIndex,33554432,8,637608346,52625459.20313282,152
scc@2.1.16 - HashIndex,33554432,10,630924818,53182932.48689418,188
scc@2.1.16 - HashIndex,33554432,12,539229173,62226662.94800041,192
scc@2.1.16 - HashIndex,33554432,14,490668484,68385138.0191763,204
scc@2.1.16 - HashIndex,33554432,16,447519534,74978698.02483304,213
