name,total_ops,threads,spent,throughput,latency
std,33554432,1,1830115099,18334602.02494073,54
std,33554432,2,1338847274,25062180.467941858,79
std,33554432,4,1397691260,24007041.44061114,166
std,33554432,6,1576535753,21283647.98333882,281
std,33554432,8,2259321365,14851553.444235234,538
std,33554432,10,2668569145,12573941.380859366,795
std,33554432,12,2916804202,11503834.222740194,1043
std,33554432,14,2502760165,13406970.619575929,1044
std,33554432,16,2554734178,13134216.580712298,1218
std(parking_lot),33554432,1,1787387577,18772890.911728654,53
std(parking_lot),33554432,2,1385730935,24214247.62376399,82
std(parking_lot),33554432,4,1315366009,25509578.148145687,156
std(parking_lot),33554432,6,1131728117,29648845.421413172,202
std(parking_lot),33554432,8,1251546962,26810365.906189624,298
std(parking_lot),33554432,10,1404171705,23896245.651809372,418
std(parking_lot),33554432,12,1603716438,20922920.788818404,573
std(parking_lot),33554432,14,1725900732,19441692.895695463,720
std(parking_lot),33554432,16,2034702069,16491078.724115651,970
contrie@0.1.4,33554432,1,7612790940,4407638.704971451,226
contrie@0.1.4,33554432,2,3680385853,9117096.233985553,219
contrie@0.1.4,33554432,4,1885214741,17798732.03314826,224
contrie@0.1.4,33554432,6,1270518863,26410022.690076347,227
contrie@0.1.4,33554432,8,957487818,35044239.069368504,228
contrie@0.1.4,33554432,10,1078110970,31123356.438901648,321
contrie@0.1.4,33554432,12,927734239,36168150.95254882,331
contrie@0.1.4,33554432,14,887914272,37790170.80603926,370
contrie@0.1.4,33554432,16,821233147,40858594.32558925,391
dashmap@6.0.1,33554432,1,1829332881,18342441.853260495,54
dashmap@6.0.1,33554432,2,995642667,33701279.69817107,59
dashmap@6.0.1,33554432,4,532452994,63018580.7538158,63
dashmap@6.0.1,33554432,6,418910639,80099259.54637787,74
dashmap@6.0.1,33554432,8,313604620,106995974.74042314,74
dashmap@6.0.1,33554432,10,336633954,99676314.88533685,100
dashmap@6.0.1,33554432,12,336941502,99585333.95509112,120
dashmap@6.0.1,33554432,14,275369821,121852249.01606047,114
dashmap@6.0.1,33554432,16,276257009,121460925.53981137,131
dashmap5@5.5.3,33554432,1,2076031646,16162774.813501084,61
dashmap5@5.5.3,33554432,2,1146437245,29268441.989600573,68
dashmap5@5.5.3,33554432,4,626316497,53574242.672391236,74
dashmap5@5.5.3,33554432,6,504636923,66492225.34198117,90
dashmap5@5.5.3,33554432,8,365839128,91719090.25543052,87
dashmap5@5.5.3,33554432,10,390684821,85886193.1572202,116
dashmap5@5.5.3,33554432,12,366479682,91558778.4209003,131
dashmap5@5.5.3,33554432,14,305054703,109994803.12880147,127
dashmap5@5.5.3,33554432,16,302577713,110895252.88334768,144
flurry@0.5.1,33554432,1,4107336351,8169389.875224271,122
flurry@0.5.1,33554432,2,2053804839,16337692.541584278,122
flurry@0.5.1,33554432,4,1044799892,32115654.162031636,124
flurry@0.5.1,33554432,6,731071152,45897628.306362174,130
flurry@0.5.1,33554432,8,564831605,59406080.86192344,134
flurry@0.5.1,33554432,10,621274881,54008995.09407335,185
flurry@0.5.1,33554432,12,549554679,61057494.88123274,196
flurry@0.5.1,33554432,14,514244940,65249902.11862853,214
flurry@0.5.1,33554432,16,459512067,73021873.43863595,219
hashlink@0.9.1 - std,33554432,1,1919080508,17484640.097235568,57
hashlink@0.9.1 - std,33554432,2,1548929013,21662988.889988594,92
hashlink@0.9.1 - std,33554432,4,1497336501,22409412.96601705,178
hashlink@0.9.1 - std,33554432,6,1615500681,20770298.88915287,288
hashlink@0.9.1 - std,33554432,8,2654119988,12642394.523122065,632
hashlink@0.9.1 - std,33554432,10,2867958040,11699763.919837544,854
hashlink@0.9.1 - std,33554432,12,3188172801,10524659.136880957,1140
hashlink@0.9.1 - std,33554432,14,3217297680,10429383.705644546,1342
hashlink@0.9.1 - std,33554432,16,3420012749,9811200.852924071,1630
hashlink@0.9.1 - parking_lot,33554432,1,1923199127,17447195.939788923,57
hashlink@0.9.1 - parking_lot,33554432,2,1532988102,21888253.376672324,91
hashlink@0.9.1 - parking_lot,33554432,4,1382669987,24267853.00576572,164
hashlink@0.9.1 - parking_lot,33554432,6,1366369535,24557362.514672868,244
hashlink@0.9.1 - parking_lot,33554432,8,1332465448,25182215.45659171,317
hashlink@0.9.1 - parking_lot,33554432,10,1510579172,22212958.196407598,450
hashlink@0.9.1 - parking_lot,33554432,12,1714773840,19567846.917935256,613
hashlink@0.9.1 - parking_lot,33554432,14,1807797503,18560946.09286558,754
hashlink@0.9.1 - parking_lot,33554432,16,2134919874,15716951.445644747,1018
papaya@0.1.3,33554432,1,2596450410,12923193.861422526,77
papaya@0.1.3,33554432,2,1284127606,26130138.34701409,76
papaya@0.1.3,33554432,4,664334418,50508345.030529484,79
papaya@0.1.3,33554432,6,463676370,72366059.97411513,82
papaya@0.1.3,33554432,8,343660983,97638177.33129165,81
papaya@0.1.3,33554432,10,405604075,82727058.40048574,120
papaya@0.1.3,33554432,12,351052147,95582471.96818882,125
papaya@0.1.3,33554432,14,316526401,106008319.98213002,132
papaya@0.1.3,33554432,16,302442559,110944809.19267714,144
scc@2.1.16 - HashMap,33554432,1,3380756801,9925124.454404669,100
scc@2.1.16 - HashMap,33554432,2,1650193208,20333638.411145367,98
scc@2.1.16 - HashMap,33554432,4,844527629,39731597.697675794,100
scc@2.1.16 - HashMap,33554432,6,643775990,52121285.231529064,115
scc@2.1.16 - HashMap,33554432,8,449085472,74717251.15169168,107
scc@2.1.16 - HashMap,33554432,10,449814469,74596159.77804396,134
scc@2.1.16 - HashMap,33554432,12,405373885,82774034.64211811,144
scc@2.1.16 - HashMap,33554432,14,343037961,97815506.78002077,143
scc@2.1.16 - HashMap,33554432,16,322845028,103933556.6289099,153
scc@2.1.16 - HashIndex,33554432,1,2593156002,12939611.798951078,77
scc@2.1.16 - HashIndex,33554432,2,1277550987,26264651.93283123,76
scc@2.1.16 - HashIndex,33554432,4,641667757,52292532.442143574,76
scc@2.1.16 - HashIndex,33554432,6,455531287,73659994.29145686,81
scc@2.1.16 - HashIndex,33554432,8,337242182,99496545.18603489,80
scc@2.1.16 - HashIndex,33554432,10,373963741,89726431.52588421,111
